trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.002, 'e': 0.4714787374216858}",35,4,-39.96208672612872,"{0: 22, 1: 3, 2: 6, 3: 0, 4: 0}",1
152,False,"{'a': 0.002, 'e': 0.46912134373457737}",30,15,-16.629275538527175,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
153,False,"{'a': 0.002, 'e': 0.46677573701590447}",20,0,-18.118117320364664,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
154,False,"{'a': 0.002, 'e': 0.46444185833082496}",30,4,-13.016832203003023,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
155,False,"{'a': 0.002, 'e': 0.46211964903917085}",20,12,-39.29037198149503,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.002, 'e': 0.459809050793975}",25,12,13.041614538752766,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.002, 'e': 0.4575100055400051}",25,7,1.4996161548692164,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.002, 'e': 0.45522245551230506}",20,3,2.8222108173253764,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.002, 'e': 0.45294634323474353}",20,9,9.968576076942732,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.002, 'e': 0.45068161151856984}",25,12,-1.9977454702311581,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.002, 'e': 0.44842820346097695}",25,14,-39.20911846620234,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.002, 'e': 0.4461860624436721}",20,0,-11.287539188955527,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
163,False,"{'a': 0.002, 'e': 0.4439551321314537}",25,18,10.818114638470092,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.002, 'e': 0.4417353564707964}",30,1,-49.368836593434935,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 1}",1
165,False,"{'a': 0.002, 'e': 0.43952667968844245}",20,5,1.8167347074379478,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.002, 'e': 0.43732904629000025}",30,2,-19.826998221834533,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.002, 'e': 0.43514240105855023}",20,0,-17.832137671070825,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
168,False,"{'a': 0.002, 'e': 0.4329666890532575}",25,0,-34.69700250977091,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
169,False,"{'a': 0.002, 'e': 0.4308018556079912}",20,0,-57.037165616616406,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
170,False,"{'a': 0.002, 'e': 0.42864784632995123}",35,11,-4.170202821630743,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
171,False,"{'a': 0.002, 'e': 0.4265046070983015}",20,0,-66.56816004316609,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
172,False,"{'a': 0.002, 'e': 0.42437208406280996}",20,2,-3.502742289354929,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.002, 'e': 0.4222502236424959}",20,0,-2.2529917535039807,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.002, 'e': 0.42013897252428345}",20,11,-15.084333356426988,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.002, 'e': 0.418038277661662}",30,7,-4.019815692458475,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.002, 'e': 0.4159480862733537}",30,4,-131.19144447120095,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 2}",1
177,False,"{'a': 0.002, 'e': 0.41386834584198695}",30,13,-0.6670310043831029,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.002, 'e': 0.41179900411277703}",25,18,0.18929368373254563,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.002, 'e': 0.40974000909221314}",25,8,-75.83907618249974,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
180,False,"{'a': 0.002, 'e': 0.40769130904675205}",20,0,10.187164762969296,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.002, 'e': 0.4056528525015183}",20,6,-41.43611828576956,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
182,False,"{'a': 0.002, 'e': 0.4036245882390107}",25,2,-82.08578114253208,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 2}",1
